settlement_name,settlement_type,hromada_name,raion_name,oblast_name,lat_center,lon_center,rank,is_center,coord_src,coord_src
Єнакієве,місто,Єнакієвська,Горлівський,Донецька,48.2305107,38.185045,0,1,hromada,hromada
Жданівка,місто,Жданівська,Горлівський,Донецька,48.1570316,38.2565049,0,1,hromada,hromada
Сніжне,місто,Сніжнянська,Горлівський,Донецька,48.0220754,38.7634612,0,1,hromada,hromada
Хрестівка,місто,Хрестівська,Горлівський,Донецька,48.1456309,38.3545249,0,1,hromada,hromada
Чистякове,місто,Чистяківська,Горлівський,Донецька,48.0261217,38.618137,0,1,hromada,hromada
Шахтарськ,місто,Шахтарська,Горлівський,Донецька,48.0550423,38.4459474,0,1,hromada,hromada
Амвросіївка,місто,Амвросіївська,Донецький,Донецька,47.7952806,38.4798317,0,1,hromada,hromada
Донецьк,місто,Донецька,Донецький,Донецька,48.0158753,37.8013407,0,1,hromada,hromada
Іловайськ,місто,Іловайська,Донецький,Донецька,47.9248328,38.1976205,0,1,hromada,hromada
Макіївка,місто,Макіївська,Донецький,Донецька,48.0448144,37.9635093,0,1,hromada,hromada
Харцизьк,місто,Харцизька,Донецький,Донецька,48.0339524,38.149804,0,1,hromada,hromada
Ясинувата,місто,Ясинуватська,Донецький,Донецька,48.1270606,37.8590172,0,1,hromada,hromada
Докучаєвськ,місто,Докучаєвська,Кальміуський,Донецька,47.7499257,37.6715943,0,1,hromada,hromada
Кальміуське,місто,Кальміуська,Кальміуський,Донецька,47.6687951,38.0739208,0,1,hromada,hromada
Новоазовськ,місто,Новоазовська,Кальміуський,Донецька,47.1138718,38.0830911,0,1,hromada,hromada
Дружківка,місто,Дружківська,Краматорський,Донецька,48.627263,37.546579,0,1,settlement,settlement
Костянтинівка,місто,Костянтинівська,Краматорський,Донецька,48.526691,37.704206,0,1,settlement,settlement
Краматорськ,місто,Краматорська,Краматорський,Донецька,48.725756,37.543785,0,1,settlement,settlement
Лиман,місто,Лиманська,Краматорський,Донецька,48.964092,37.822442,0,1,settlement,settlement
Миколаївка,місто,Миколаївська,Краматорський,Донецька,48.8610868,37.7619191,0,1,hromada,hromada
Святогірськ,місто,Святогірська,Краматорський,Донецька,49.0355675,37.5653551,0,1,hromada,hromada
Слов’янськ,місто,Слов’янська,Краматорський,Донецька,48.8522691,37.6058241,0,1,hromada,hromada
Маріуполь,місто,Маріупольська,Маріупольський,Донецька,47.095374,37.549521,0,1,settlement,settlement
Авдіївка,місто,Авдіївська,Покровський,Донецька,48.1338824,37.7466719,0,1,hromada,hromada
Білозерське,місто,Білозерська,Покровський,Донецька,48.536786,37.058605,0,1,settlement,settlement
Добропілля,місто,Добропільська,Покровський,Донецька,48.450418,37.091160,0,1,settlement,settlement
Курахове,місто,Курахівська,Покровський,Донецька,47.9835214,37.2826414,0,1,hromada,hromada
Мар’їнка,місто,Мар’їнська,Покровський,Донецька,47.9401242,37.5022312,0,1,hromada,hromada
Мирноград,місто,Мирноградська,Покровський,Донецька,48.290969,37.268056,0,1,settlement,settlement
Новогродівка,місто,Новогродівська,Покровський,Донецька,48.210546,37.329914,0,1,settlement,settlement
Покровськ,місто,Покровська,Покровський,Донецька,48.285190,37.179814,0,1,settlement,settlement
Селидове,місто,Селидівська,Покровський,Донецька,48.148003,37.298697,0,1,settlement,settlement
Андрушівка,місто,Андрушівська,Бердичівський,Житомирська,50.018835,29.019114,0,1,settlement,settlement
Бердичів,місто,Бердичівська,Бердичівський,Житомирська,49.892291,28.590654,0,1,settlement,settlement
Житомир,місто,Житомирська,Житомирський,Житомирська,50.254623,28.658692,0,1,settlement,settlement
Коростишів,місто,Коростишівська,Житомирський,Житомирська,50.319591,29.059439,0,1,settlement,settlement
Радомишль,місто,Радомишльська,Житомирський,Житомирська,50.492986,29.257967,0,1,settlement,settlement
Чуднів,місто,Чуднівська,Житомирський,Житомирська,50.052700,28.118562,0,1,settlement,settlement
Коростень,місто,Коростенська,Коростенський,Житомирська,50.959558,28.614432,0,1,settlement,settlement
Малин,місто,Малинська,Коростенський,Житомирська,50.769008,29.270040,0,1,settlement,settlement
Овруч,місто,Овруцька,Коростенський,Житомирська,51.324525,28.808073,0,1,settlement,settlement
Олевськ,місто,Олевська,Коростенський,Житомирська,51.227873,27.648033,0,1,settlement,settlement
Баранівка,місто,Баранівська,Новоград-Волинський,Житомирська,50.293650,27.666539,0,1,settlement,settlement
Новоград-Волинський,місто,Новоград-Волинська,Новоград-Волинський,Житомирська,50.593196,27.621066,0,1,settlement,settlement
Берегове,місто,Берегівська,Берегівський,Закарпатська,48.203376,22.630215,0,1,settlement,settlement
Виноградів,місто,Виноградівська,Берегівський,Закарпатська,48.139568,23.038598,0,1,settlement,settlement
Мукачево,місто,Мукачівська,Мукачівський,Закарпатська,48.442105,22.718286,0,1,settlement,settlement
Свалява,місто,Свалявська,Мукачівський,Закарпатська,48.545692,22.988670,0,1,settlement,settlement
Рахів,місто,Рахівська,Рахівський,Закарпатська,48.053702,24.203803,0,1,settlement,settlement
Тячів,місто,Тячівська,Тячівський,Закарпатська,48.016125,23.581998,0,1,settlement,settlement
Перечин,місто,Перечинська,Ужгородський,Закарпатська,48.740315,22.473153,0,1,settlement,settlement
Ужгород,місто,Ужгородська,Ужгородський,Закарпатська,48.625465,22.288774,0,1,settlement,settlement
Чоп,місто,Чопська,Ужгородський,Закарпатська,48.432792,22.207351,0,1,settlement,settlement
Іршава,місто,Іршавська,Хустський,Закарпатська,48.317135,23.037376,0,1,settlement,settlement
Хуст,місто,Хустська,Хустський,Закарпатська,48.161119,23.298409,0,1,settlement,settlement
Бердянськ,місто,Бердянська,Бердянський,Запорізька,46.750956,36.804085,0,1,settlement,settlement
Приморськ,місто,Приморська,Бердянський,Запорізька,46.726049,36.356769,0,1,settlement,settlement
Василівка,місто,Василівська,Василівський,Запорізька,47.434262,35.276374,0,1,settlement,settlement
Дніпрорудне,місто,Дніпрорудненська,Василівський,Запорізька,47.389943,35.002810,0,1,settlement,settlement
Енергодар,місто,Енергодарська,Василівський,Запорізька,47.494632,34.646529,0,1,settlement,settlement
Кам’янка-Дніпровська,місто,Кам’янсько-Дніпровська,Василівський,Запорізька,47.4900938,34.4109101,0,1,hromada,hromada
Вільнянськ,місто,Вільнянська,Запорізький,Запорізька,47.941551,35.431262,0,1,settlement,settlement
Запоріжжя,місто,Запорізька,Запорізький,Запорізька,47.838796,35.139561,0,1,settlement,settlement
Мелітополь,місто,Мелітопольська,Мелітопольський,Запорізька,46.842180,35.372871,0,1,settlement,settlement
Гуляйполе,місто,Гуляйпільська,Пологівський,Запорізька,47.666432,36.253211,0,1,settlement,settlement
Молочанськ,місто,Молочанська,Пологівський,Запорізька,47.204566,35.595770,0,1,settlement,settlement
Оріхів,місто,Оріхівська,Пологівський,Запорізька,47.569469,35.777724,0,1,settlement,settlement
Пологи,місто,Пологівська,Пологівський,Запорізька,47.475511,36.276037,0,1,settlement,settlement
Токмак,місто,Токмацька,Пологівський,Запорізька,47.248809,35.708877,0,1,settlement,settlement
Бурштин,місто,Бурштинська,Івано-Франківський,Івано-Франківська,49.262358,24.627817,0,1,settlement,settlement
Галич,місто,Галицька,Івано-Франківський,Івано-Франківська,49.113683,24.731213,0,1,settlement,settlement
Івано-Франківськ,місто,Івано-Франківська,Івано-Франківський,Івано-Франківська,48.922629,24.711108,0,1,settlement,settlement
Рогатин,місто,Рогатинська,Івано-Франківський,Івано-Франківська,49.412359,24.615016,0,1,settlement,settlement
Тисмениця,місто,Тисменицька,Івано-Франківський,Івано-Франківська,48.902095,24.848128,0,1,settlement,settlement
Тлумач,місто,Тлумацька,Івано-Франківський,Івано-Франківська,48.853213,25.013266,0,1,settlement,settlement
Болехів,місто,Болехівська,Калуський,Івано-Франківська,49.063327,23.872226,0,1,settlement,settlement
Долина,місто,Долинська,Калуський,Івано-Франківська,48.974430,24.002526,0,1,settlement,settlement
Калуш,місто,Калуська,Калуський,Івано-Франківська,49.044646,24.355304,0,1,settlement,settlement
Городенка,місто,Городенківська,Коломийський,Івано-Франківська,48.675844,25.495886,0,1,settlement,settlement
Коломия,місто,Коломийська,Коломийський,Івано-Франківська,48.541588,25.038526,0,1,settlement,settlement
